documento,campo,vacio_real,prediccion_sistema
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Modalidad,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Departamento,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Área de Conocimiento,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Nombre Asignatura,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Período Académico,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Código,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,NRC,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Nivel,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Docente,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Sesiones Semanales,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,carga horaria: DOCENCIA,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,carga horaria: PRACTICAS DE APLICACIÓN Y EXPERIMENTACIÓN,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,carga horaria: APRENDIZAJE AUTÓNOMO,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Descripción de la Asignatura,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Contribución de la Asignatura,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Resultado de Aprendizaje de la Carrera,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Objetivo de la Asignatura,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Resultado de Aprendizaje de la Asignatura,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Proyecto Integrador,0,0
Silabo_NCR-21306_Aplicaciones_Distribuidas_Washington_Ramírez_Des_Analisis_Software_Aplicaciones_VIII_Software_202550-signed-signed.pdf,Perfil sugerido del docente,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Modalidad,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Departamento,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Área de Conocimiento,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Nombre Asignatura,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Período Académico,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Código,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,NRC,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Nivel,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Docente,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Sesiones Semanales,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,carga horaria: DOCENCIA,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,carga horaria: PRACTICAS DE APLICACIÓN Y EXPERIMENTACIÓN,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,carga horaria: APRENDIZAJE AUTÓNOMO,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Descripción de la Asignatura,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Contribución de la Asignatura,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Resultado de Aprendizaje de la Carrera,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Objetivo de la Asignatura,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Resultado de Aprendizaje de la Asignatura,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Proyecto Integrador,0,0
Silabo_NRC-21278_ABC_José_Carrillo_SI_VI_Software_202550-signed-signed.pdf,Perfil sugerido del docente,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Modalidad,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Departamento,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Área de Conocimiento,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Nombre Asignatura,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Período Académico,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Código,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,NRC,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Nivel,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Docente,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Sesiones Semanales,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,carga horaria: DOCENCIA,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,carga horaria: PRACTICAS DE APLICACIÓN Y EXPERIMENTACIÓN,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,carga horaria: APRENDIZAJE AUTÓNOMO,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Descripción de la Asignatura,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Contribución de la Asignatura,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Resultado de Aprendizaje de la Carrera,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Objetivo de la Asignatura,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Resultado de Aprendizaje de la Asignatura,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Proyecto Integrador,0,0
Silabo_NRC-21297_LETA_José_Carrillo_SI_VI_Software_202550-signed.pdf,Perfil sugerido del docente,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,Modalidad,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,Departamento,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,Área de Conocimiento,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,Nombre Asignatura,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,Período Académico,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,Código,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,NRC,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,Nivel,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,Docente,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,Sesiones Semanales,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,carga horaria: DOCENCIA,0,0
Silabo_NRC-21379_Desarrollo_Aplicaciones_Moviles_Edwin_Chasiquiza_DASyAS_VI_Software_202550-signed-signed.pdf,carga horaria: PRACTICAS DE APLICACIÓN Y EXPERIMENTACIÓN,0,0
